"text","favorited","favoriteCount","replyToSN","created","truncated","replyToSID","id","replyToUID","statusSource","screenName","retweetCount","isRetweet","retweeted","longitude","latitude"
"RT @EnvAm: Today kicks off our Digital Week of Action to #SaveTheBoreal - Urge @proctergamble to stop using carbon-absorbing trees in the C…",FALSE,0,NA,2021-09-22 18:29:41,FALSE,NA,"1440745128486793222",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","abbym_vg",1,TRUE,FALSE,NA,NA
"RT @MichellesDude: America faces a real choice.

We can leverage our diverse population &amp; strong sci/tech base to remain a leading democrac…",FALSE,0,NA,2021-09-22 18:26:07,FALSE,NA,"1440744232315064321",NA,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>","Rickagain",21,TRUE,FALSE,NA,NA
"@TheRevAl The GOP cares nothing about America, justice, truth, the world or the environment.",FALSE,0,"TheRevAl",2021-09-22 18:19:39,FALSE,"1440734373930618886","1440742605642289155","42389136","<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","SueNRI295",0,FALSE,FALSE,NA,NA
"The ILLEGAL INVADER Haitians setting up an ILLEGAL shanty town under the Texas bridge proves that they are incapabl… https://t.co/JpjbcHaGoA",FALSE,0,NA,2021-09-22 18:15:32,TRUE,NA,"1440741570311909381",NA,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>","RebelOutlaw5",0,FALSE,FALSE,NA,NA
"Critics wanna know how do you pay for infrastructure bill easy realistic America lets tax the rich and greedy and d… https://t.co/pyN5faNv9I",FALSE,0,NA,2021-09-22 18:11:24,TRUE,NA,"1440740531173150727",NA,"<a href=""http://twitter.com/#!/download/ipad"" rel=""nofollow"">Twitter for iPad</a>","vaato5455",0,FALSE,FALSE,NA,NA
"RT @patrickwintour: ""The future Australian navy is being built to fit into America’s strategic shift to counter China, in an East Asian env…",FALSE,0,NA,2021-09-22 18:07:34,FALSE,NA,"1440739565472342024",NA,"<a href=""http://twitter.com/#!/download/ipad"" rel=""nofollow"">Twitter for iPad</a>","EuEthnic",17,TRUE,FALSE,NA,NA
"RT @patrickwintour: ""The future Australian navy is being built to fit into America’s strategic shift to counter China, in an East Asian env…",FALSE,0,NA,2021-09-22 18:03:58,FALSE,NA,"1440738657963413504",NA,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>","MagisterDamask",17,TRUE,FALSE,NA,NA
"Uh, Student Transport of America? There isn't a ""driver shortage,"" there's a pandemic and no one wants to work clos… https://t.co/534l6PPfKh",FALSE,0,NA,2021-09-22 17:51:59,TRUE,NA,"1440735641621331973",NA,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>","RTalesien",0,FALSE,FALSE,NA,NA
"RT @AmbRice46: Heat is the number one weather-related killer in America. 

To meet this threat, we’re launching a coordinated effort to pro…",FALSE,0,NA,2021-09-22 17:34:05,FALSE,NA,"1440731140319440896",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","ikerot",26,TRUE,FALSE,NA,NA
"⁦@POTUS⁩ ⁦@SpeakerPelosi⁩ this loophole needs to be fixed. We are not going to pay big oil to fix their mess!

“Wil… https://t.co/U9e7tuMJGW",FALSE,0,NA,2021-09-22 17:32:27,TRUE,NA,"1440730728723980299",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","AzSU82",0,FALSE,FALSE,NA,NA
