"text","favorited","favoriteCount","replyToSN","created","truncated","replyToSID","id","replyToUID","statusSource","screenName","retweetCount","isRetweet","retweeted","longitude","latitude"
"@StandardKenya @RailaOdinga meaningful Jobs when we get harassed from right left and center by Police, Kenya is the… https://t.co/idsAkJuNTQ",FALSE,0,"StandardKenya",2021-09-22 05:36:16,TRUE,"1440389823349420041","1440550493244198913","53037279","<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","DanielKaruga6",0,FALSE,FALSE,NA,NA
"RT @saribuhaynatl: A recent @Global_Witness report ranked the Philippines as the worst country in Asia, and third worst worldwide, in terms…",FALSE,0,NA,2021-09-22 03:35:56,FALSE,NA,"1440520212059619347",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","GoogleMyrna",114,TRUE,FALSE,NA,NA
"RT @Iscreamforan: @bbclaurak Why are you regurgitating all his drivel? Every single country has failed including the UK! Little reminder: J…",FALSE,0,NA,2021-09-21 09:22:11,FALSE,NA,"1440244958959575049",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","Pingachoo",2,TRUE,FALSE,NA,NA
"#China ranks as the worst environment for internet freedom for the seventh year in a row in @freedomhouse survey Fr… https://t.co/M9qVZGXE2X",FALSE,0,NA,2021-09-21 09:20:14,TRUE,NA,"1440244467504537602",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","ag_fidh",0,FALSE,FALSE,NA,NA
"RT @Iscreamforan: @bbclaurak Why are you regurgitating all his drivel? Every single country has failed including the UK! Little reminder: J…",FALSE,0,NA,2021-09-21 08:03:12,FALSE,NA,"1440225081037254659",NA,"<a href=""http://twitter.com/#!/download/ipad"" rel=""nofollow"">Twitter for iPad</a>","florestaqueen",2,TRUE,FALSE,NA,NA
"RT @saribuhaynatl: A recent @Global_Witness report ranked the Philippines as the worst country in Asia, and third worst worldwide, in terms…",FALSE,0,NA,2021-09-21 06:34:59,FALSE,NA,"1440202882087735298",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","PrajwolGautam11",114,TRUE,FALSE,NA,NA
"RT @saribuhaynatl: A recent @Global_Witness report ranked the Philippines as the worst country in Asia, and third worst worldwide, in terms…",FALSE,0,NA,2021-09-21 01:04:07,FALSE,NA,"1440119615791648769",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","swaggyemman",114,TRUE,FALSE,NA,NA
"RT @saribuhaynatl: A recent @Global_Witness report ranked the Philippines as the worst country in Asia, and third worst worldwide, in terms…",FALSE,0,NA,2021-09-20 23:34:17,FALSE,NA,"1440097009956839425",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","MelAckermann02",114,TRUE,FALSE,NA,NA
"@bbclaurak Why are you regurgitating all his drivel? Every single country has failed including the UK! Little remin… https://t.co/O0RjWiBwEs",FALSE,0,"bbclaurak",2021-09-20 19:12:06,TRUE,"1439958750685765632","1440031030501535750","61183568","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","Iscreamforan",2,FALSE,FALSE,NA,NA
"RT @saribuhaynatl: A recent @Global_Witness report ranked the Philippines as the worst country in Asia, and third worst worldwide, in terms…",FALSE,0,NA,2021-09-20 14:18:16,FALSE,NA,"1439957085337231360",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","PurpleTurtleWat",114,TRUE,FALSE,NA,NA
"RT @saribuhaynatl: A recent @Global_Witness report ranked the Philippines as the worst country in Asia, and third worst worldwide, in terms…",FALSE,0,NA,2021-09-20 13:19:44,FALSE,NA,"1439942354186670080",NA,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>","franstuardo",114,TRUE,FALSE,NA,NA
"RT @saribuhaynatl: A recent @Global_Witness report ranked the Philippines as the worst country in Asia, and third worst worldwide, in terms…",FALSE,0,NA,2021-09-20 12:10:32,FALSE,NA,"1439924940476669954",NA,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>","STEM2Crisis",114,TRUE,FALSE,NA,NA
"RT @saribuhaynatl: A recent @Global_Witness report ranked the Philippines as the worst country in Asia, and third worst worldwide, in terms…",FALSE,0,NA,2021-09-20 11:11:33,FALSE,NA,"1439910096507654153",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","katbayog",114,TRUE,FALSE,NA,NA
"RT @saribuhaynatl: A recent @Global_Witness report ranked the Philippines as the worst country in Asia, and third worst worldwide, in terms…",FALSE,0,NA,2021-09-20 08:57:59,FALSE,NA,"1439876481887268865",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","crnklesnchz",114,TRUE,FALSE,NA,NA
"RT @saribuhaynatl: A recent @Global_Witness report ranked the Philippines as the worst country in Asia, and third worst worldwide, in terms…",FALSE,0,NA,2021-09-20 06:52:22,FALSE,NA,"1439844870521122819",NA,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>","yumiiq09",114,TRUE,FALSE,NA,NA
"RT @saribuhaynatl: A recent @Global_Witness report ranked the Philippines as the worst country in Asia, and third worst worldwide, in terms…",FALSE,0,NA,2021-09-20 06:35:00,FALSE,NA,"1439840497426583555",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","jekoranium",114,TRUE,FALSE,NA,NA
"RT @saribuhaynatl: A recent @Global_Witness report ranked the Philippines as the worst country in Asia, and third worst worldwide, in terms…",FALSE,0,NA,2021-09-20 06:29:18,FALSE,NA,"1439839063494692864",NA,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>","resiztanze",114,TRUE,FALSE,NA,NA
"RT @saribuhaynatl: A recent @Global_Witness report ranked the Philippines as the worst country in Asia, and third worst worldwide, in terms…",FALSE,0,NA,2021-09-20 05:36:45,FALSE,NA,"1439825838069862403",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","actual_bibe",114,TRUE,FALSE,NA,NA
"RT @saribuhaynatl: A recent @Global_Witness report ranked the Philippines as the worst country in Asia, and third worst worldwide, in terms…",FALSE,0,NA,2021-09-20 05:35:08,FALSE,NA,"1439825433650864132",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","Deelemmas",114,TRUE,FALSE,NA,NA
"RT @saribuhaynatl: A recent @Global_Witness report ranked the Philippines as the worst country in Asia, and third worst worldwide, in terms…",FALSE,0,NA,2021-09-20 04:03:38,FALSE,NA,"1439802404875038720",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","Lancepoopoochan",114,TRUE,FALSE,NA,NA
"RT @saribuhaynatl: A recent @Global_Witness report ranked the Philippines as the worst country in Asia, and third worst worldwide, in terms…",FALSE,0,NA,2021-09-20 02:55:47,FALSE,NA,"1439785332568834050",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","MungTani",114,TRUE,FALSE,NA,NA
"RT @saribuhaynatl: A recent @Global_Witness report ranked the Philippines as the worst country in Asia, and third worst worldwide, in terms…",FALSE,0,NA,2021-09-20 01:39:40,FALSE,NA,"1439766174338740231",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","dxne_lmq",114,TRUE,FALSE,NA,NA
"RT @saribuhaynatl: A recent @Global_Witness report ranked the Philippines as the worst country in Asia, and third worst worldwide, in terms…",FALSE,0,NA,2021-09-19 23:37:58,FALSE,NA,"1439735547069562882",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","mrvitalez",114,TRUE,FALSE,NA,NA
"RT @saribuhaynatl: A recent @Global_Witness report ranked the Philippines as the worst country in Asia, and third worst worldwide, in terms…",FALSE,0,NA,2021-09-19 23:20:18,FALSE,NA,"1439731102134857728",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","_jamlopez",114,TRUE,FALSE,NA,NA
