"text","favorited","favoriteCount","replyToSN","created","truncated","replyToSID","id","replyToUID","statusSource","screenName","retweetCount","isRetweet","retweeted","longitude","latitude"
"RT @nanoloom: We’re excited to have been chosen as a semi-finalist for the @conservationx Microfibre Innovation Challenge along with some a…",FALSE,0,NA,2021-09-22 18:20:21,FALSE,NA,"1440742782189006848",NA,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>","SMTPSF",2,TRUE,FALSE,NA,NA
"RT @CLEANBOSS2: Swarms of fireflies
💫
#Nature #Think #Protect #Sweet #photography #Smart #Wildlife #preserve #Artistic #Art #love #biodiver…",FALSE,0,NA,2021-09-22 18:19:42,FALSE,NA,"1440742618304901120",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","miss_shah__",98,TRUE,FALSE,NA,NA
"RT @Enviro_Journal: ICYMI: Our informative webinar on supporting #Indigenous employment in the #environment sector, with Brendan Stephen fr…",FALSE,0,NA,2021-09-22 18:19:34,FALSE,NA,"1440742586348572682",NA,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>","CanadianWater",2,TRUE,FALSE,NA,NA
"RT @RiteBoss: #FridayPosts
#FridayVibes
#FridayReflect
#FridayFeeling
#Nature
#environment
#Serenity
#Peace
#Calm
#Earth
#Balm
#Beauty
#Ene…",FALSE,0,NA,2021-09-22 18:19:23,FALSE,NA,"1440742538076319751",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","miss_shah__",1206,TRUE,FALSE,NA,NA
"Tweet from Guardian #Environment @guardianeco 
City flights: birds flocked to urban areas as Covid kept people home… https://t.co/RePfO6hdnO",FALSE,0,NA,2021-09-22 18:19:14,TRUE,NA,"1440742498637283328",NA,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>","Writing_Destiny",0,FALSE,FALSE,NA,NA
"RT @MissionForEarth: Amazingly represented art on ""Climate Change"" by Ananya ji from U.P., Gaziabad.

""Mission for Earth"" aimed to bring en…",FALSE,0,NA,2021-09-22 18:15:25,FALSE,NA,"1440741538489790464",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","ArunGuptaIndia_",6,TRUE,FALSE,NA,NA
"RT @MissionForEarth: Creatively &amp; amazingly represented art on ""Climate Change"" by Anshika Anand ji from Delhi

""Mission for Earth"" aimed t…",FALSE,0,NA,2021-09-22 18:15:21,FALSE,NA,"1440741523004428288",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","ArunGuptaIndia_",32,TRUE,FALSE,NA,NA
"""... The activities that flood our atmosphere with carbon — fossil fuel extraction and deforestation — are at the h… https://t.co/7p8aTR6orq",FALSE,1,NA,2021-09-22 18:15:09,TRUE,NA,"1440741471829651465",NA,"<a href=""https://buffer.com"" rel=""nofollow"">Buffer</a>","cheryl_fahling",0,FALSE,FALSE,NA,NA
"RT @lifetokyo: LIFE’s tree #planting project aims to alleviate the severe effects of climate change and deforestation on the shores of #Sum…",FALSE,0,NA,2021-09-22 18:14:07,FALSE,NA,"1440741214223958016",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","Mahavee51844866",1,TRUE,FALSE,NA,NA
"Everything in nature has its place. Not everything is beautiful but we need to protect it because the world needs i… https://t.co/d0lOauZGQM",FALSE,0,NA,2021-09-22 18:14:05,TRUE,NA,"1440741206187675659",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","SueHardyDawson",0,FALSE,FALSE,NA,NA
